name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF
Hogg_10,167.6848,-60.3862,0.038,2.255,5.641,11.281,18,-6.195,0.08,1.756,0.061,,,0,0.387,0.027,0.1,1,6.793,0.468,2460,160,0.017,0.123,1.38,0.051,1.234,0.354,2620,91,4,9,-160,-546.48,1104.521,1,1,1
Hogg_16,202.2997,-61.2087,0.047,2.846,6.232,12.464,46,-3.479,0.095,-1.645,0.146,,,0,0.431,0.065,0.174,1,7.494,0.262,1943,131,0.11,0.141,1.422,0.107,-99,-99,2339,77,4,9,-396,-509.505,1034.324,1,1,5
Hogg_17,218.4634,-61.3292,0.049,2.943,6.433,12.866,55,-5.185,0.083,-2.449,0.085,-43.793,0.323,2,0.412,0.056,0.119,1,7.944,0.283,2174,130,0.209,0.171,1.944,0.032,1.876,0.45,2457,83,5,10,-283,-576.158,1168.345,1,1,1
Hogg_18,222.6944,-52.2854,0.063,3.752,10.287,20.574,25,-1.794,0.176,-2.279,0.14,,,0,0.562,0.035,0.225,1,7.497,0.302,1619,72,-0.018,0.08,1.78,0.121,1.128,0.246,1771,59,4,11,-152,-508.589,1030.054,1,1,1
Hogg_19,247.2298,-49.1054,0.04,2.4,7.706,15.412,45,-2.071,0.09,-3.12,0.082,,,0,0.368,0.04,0.122,1,7.127,0.406,2514,252,0.098,0.21,2.347,0.07,2.039,0.325,2711,146,4,13,-197,-666.814,1348.855,1,1,1
Hogg_21,251.4084,-47.7473,0.045,2.726,7.294,14.588,58,-0.937,0.174,-2.21,0.133,-2.217,1.298,2,0.376,0.065,0.219,1,7.767,0.51,2311,105,0.169,0.052,1.936,0.11,1.688,0.21,2731,110,5,12,-420,-551.151,1118.543,1,1,1
Hogg_22,251.6599,-47.0782,0.044,2.628,4.523,9.047,117,-0.75,0.254,-2.013,0.339,,,0,0.343,0.138,0.424,1,7.076,0.06,2354,171,0.12,0.081,2.097,0.04,-99,-99,2987,148,5,8,-633,-351.177,721.402,1,1,5
Hogg_4,149.4225,-54.6076,0.067,4.015,12.016,24.031,281,-5.017,0.106,4.506,0.119,26.578,1.574,5,0.205,0.051,0.16,1,8.992,0.07,3706,167,-0.044,0.115,1.926,0.077,1.299,0.547,4755,395,12,34,-1049,-571.269,1165.091,1,1,1
IC_1311,302.6929,41.1744,0.035,2.086,10.315,20.631,495,-3.365,0.157,-5.046,0.164,-61.041,0.83,7,0.128,0.08,0.227,1,9.148,0.042,6686,418,0.143,0.083,1.554,0.118,1.17,0.526,8035,2317,10,49,-1349,-414.429,853.676,1,1,1
IC_1369,318.023,47.7679,0.039,2.353,10.275,20.551,200,-4.642,0.158,-5.602,0.142,-47.338,1.03,10,0.265,0.064,0.213,1,8.52,0.407,2812,202,-0.023,0.01,2.494,0.09,1.561,0.562,3816,234,6,23,-1004,-384.764,790.722,1,1,1
IC_1396,324.7442,57.558,0.246,14.731,45.308,90.615,460,-2.368,0.454,-4.535,0.424,-11.537,4.511,5,1.064,0.08,0.622,1,6.697,0.071,914,14,-0.023,0.107,1.627,0.129,2.327,0.718,938,7,9,25,-24,-355.775,736.075,1,1,1
IC_1434,332.6266,52.8553,0.076,4.578,14.87,29.739,281,-3.919,0.1,-3.323,0.094,-60.435,1.157,3,0.285,0.043,0.137,1,8.117,0.589,2802,325,-0.158,0.218,1.406,0.117,1.052,0.437,3590,213,10,32,-788,-591.418,1205.39,0,1,1
IC_1442,334.007,53.99,0.058,3.471,5.797,11.595,333,-3.083,0.484,-2.884,0.476,,,0,0.24,0.198,0.678,1,7.665,0.151,2710,112,-0.1,0.053,1.517,0.09,1.271,0.277,3745,10868,8,13,-1035,-257.212,537.656,1,1,1
IC_1590,13.2141,56.6276,0.047,2.815,7.161,14.321,100,-2.37,0.188,-1.436,0.155,,,0,0.332,0.074,0.243,1,7.059,0.179,2346,240,-0.157,0.14,1.269,0.103,1.009,0.422,2951,116,5,13,-605,-660.715,1339.851,1,1,1
IC_166,28.0973,61.8578,0.051,3.043,15.096,30.191,727,-1.451,0.134,1.145,0.169,-40.303,0.503,4,0.173,0.083,0.216,1,9.006,0.032,5371,245,0.05,0.098,2.845,0.07,1.81,0.433,5723,993,11,51,-352,-367.449,761.254,1,1,1
IC_1805,38.249,61.4854,0.1,6.022,21.638,43.276,136,-0.703,0.179,-0.714,0.21,,,0,0.446,0.041,0.276,1,6.839,0.06,2187,211,0.31,0.024,2.329,0.048,2.163,0.493,2225,65,8,29,-38,-633.15,1285.951,1,1,1
IC_1848,42.9078,60.4171,0.181,10.88,37.556,75.112,381,-0.377,0.182,-0.314,0.197,-57.452,0.316,2,0.401,0.062,0.268,1,7.094,0.128,2004,68,-0.1,0.114,1.879,0.039,1.917,0.591,2408,66,16,53,-404,-644.064,1311.899,1,1,1
IC_2157,91.1865,24.0845,0.042,2.548,9.435,18.869,39,0.966,0.111,-2.99,0.086,,,0,0.442,0.037,0.14,1,7.552,0.185,1885,155,-0.098,0.055,1.651,0.051,1.12,0.288,2232,86,4,13,-347,-621.313,1257.281,1,1,1
IC_2391,130.3901,-53.0042,0.713,42.772,243.872,487.744,224,-24.769,0.843,23.274,0.739,15.204,1.577,38,6.569,0.147,1.121,1,7.688,0.042,150,1,0,0.011,0.156,0.04,0.752,0.586,151,4,4,22,-1,-238.682,499.01,1,1,1
IC_2395,130.471,-48.0706,0.197,11.803,37.552,75.105,297,-4.461,0.273,3.25,0.292,19.065,1.419,8,1.378,0.092,0.4,1,7.149,0.032,710,6,-0.007,0.06,0.475,0.034,0.963,0.824,725,6,5,16,-15,-238.626,500.027,1,1,1
IC_2488,141.8475,-57.0209,0.187,11.217,36.459,72.918,435,-7.763,0.162,5.69,0.147,-3.269,0.218,2,0.725,0.046,0.219,1,8.254,0.09,1271,31,0.094,0.078,0.888,0.022,0.778,0.253,1392,21,10,30,-121,-529.053,1082.407,1,1,1
IC_2581,156.8631,-57.6252,0.051,3.044,10.201,20.403,127,-7.276,0.065,3.597,0.068,,,0,0.349,0.036,0.094,1,7.109,0.225,2449,153,0.01,0.139,1.395,0.044,1.062,0.233,2837,96,6,17,-388,-634.295,1287.967,1,1,1
IC_2602,160.4329,-64.3723,1.159,69.538,380.174,760.349,311,-17.642,0.869,10.673,0.836,16.806,1.829,42,6.549,0.172,1.206,1,7.672,0.023,152,1,-0.016,0.012,0.295,0.034,0.809,0.644,152,5,7,34,0,-330.533,684.025,1,1,1
IC_2714,169.379,-62.7116,0.14,8.388,28.544,57.089,934,-7.588,0.198,2.659,0.187,-13.184,0.351,15,0.723,0.049,0.273,1,8.678,0.074,1229,16,0.04,0.032,1.218,0.039,1.023,0.304,1391,23,7,24,-162,-464.184,955.726,1,1,1
